heavy_atom_idx,degree,hybridization,in_ring,is_aromatic,formal_charge,partial_charge,num_H_neighbors,num_heavy_neighbors,neighbor_atomic_nums,neighbor_C_count,neighbor_O_count,neighbor_N_count,neighbor_S_count,neighbor_Halogen_count,dist_to_O,dist_to_N,dist_to_aromatic,in_symmetric_env,ppm,nb_atoms,multiplicity,couplings
3,3,SP2,1,1,0,-0.03601983523978812,1,2,"6,6",2,0,0,0,0,-1,2,1,26,125.5,2,s,[]
4,3,SP2,1,1,0,0.0670019998741612,0,3,"6,7,6",2,0,1,0,0,-1,1,1,35,138.25,1,s,[]
6,3,SP2,0,0,0,0.21418466667583916,0,3,"7,7,7",0,0,3,0,0,-1,1,2,22,159.3,1,s,[]
10,3,SP2,0,0,0,0.05453961217694522,1,2,"7,6",1,0,1,0,0,-1,1,1,23,142.4,1,s,[]
11,3,SP2,1,1,0,-0.00519613299157873,0,3,"6,6,6",3,0,0,0,0,-1,2,1,36,135.6,1,s,[]
12,3,SP2,1,1,0,-0.04919240842218697,1,2,"6,6",2,0,0,0,0,-1,3,1,34,125.9,1,s,[]
13,3,SP2,1,1,0,-0.03508771540061778,0,3,"6,6,6",3,0,0,0,0,-1,4,1,41,143.64999999999998,1,s,[]
14,3,SP2,1,1,0,-0.014520804392522743,0,3,"6,6,6",3,0,0,0,0,-1,5,1,38,140.7,1,s,[]
15,3,SP2,1,1,0,-0.05343049043089088,1,2,"6,6",2,0,0,0,0,-1,4,1,30,121.235,1,s,[]
16,3,SP2,1,1,0,-0.05273461513026912,1,2,"6,6",2,0,0,0,0,-1,3,1,28,126.61,1,s,[]
17,3,SP2,1,1,0,-0.014564583312802358,0,3,"6,6,6",3,0,0,0,0,-1,6,1,37,140.8,1,s,[]
18,3,SP2,1,1,0,-0.0540832499016382,1,2,"6,6",2,0,0,0,0,-1,7,1,29,119.65,1,s,[]
19,3,SP2,1,1,0,-0.06163040731922559,1,2,"6,6",2,0,0,0,0,-1,8,1,24,126.8,1,s,[]
20,3,SP2,1,1,0,-0.061939244888851705,1,2,"6,6",2,0,0,0,0,-1,8,1,25,126.55,1,s,[]
21,3,SP2,1,1,0,-0.058086502053780895,1,2,"6,6",2,0,0,0,0,-1,7,1,33,125.0,1,s,[]
22,3,SP2,1,1,0,-0.03573927097365617,0,3,"6,6,6",3,0,0,0,0,-1,6,1,40,142.8,1,s,[]
23,4,SP3,1,0,0,-0.001322881409410723,2,2,"6,6",2,0,0,0,0,-1,5,1,45,36.57,1,s,[]
24,3,SP2,1,1,0,-0.03601983523978812,1,2,"6,6",2,0,0,0,0,-1,2,1,26,125.5,2,s,[]
25,3,SP2,1,1,0,-0.05717790569595144,1,2,"6,6",2,0,0,0,0,-1,3,1,31,130.1,2,s,[]
0,4,SP3,0,0,0,-0.04869200436756517,3,1,6,1,0,0,0,0,4,2,-1,32,21.15,2,s,[]
1,4,SP3,0,0,0,0.019366982164596955,1,3,"6,6,7",2,0,1,0,0,3,1,-1,40,48.65,2,s,[]
2,4,SP3,0,0,0,-0.04869200436756517,3,1,6,1,0,0,0,0,4,2,-1,32,21.15,2,s,[]
4,4,SP3,0,0,0,0.019366982164596955,1,3,"7,6,6",2,0,1,0,0,3,1,-1,40,48.65,2,s,[]
5,4,SP3,0,0,0,-0.04869200436756517,3,1,6,1,0,0,0,0,4,2,-1,32,21.15,2,s,[]
6,4,SP3,0,0,0,-0.04869200436756517,3,1,6,1,0,0,0,0,4,2,-1,32,21.15,2,s,[]
10,4,SP3,0,0,0,0.07551316516391204,2,2,"16,6",1,0,0,1,0,2,2,-1,44,58.2,1,s,[]
11,4,SP3,1,0,0,0.027580815669160184,0,4,"6,6,6,6",4,0,0,0,0,3,2,-1,43,57.9,1,s,[]
12,4,SP3,1,0,0,-0.0408723204747319,2,2,"6,6",2,0,0,0,0,4,3,-1,38,28.7,1,s,[]
13,4,SP3,1,0,0,-0.049119506072176494,2,2,"6,6",2,0,0,0,0,5,4,-1,37,29.4,1,s,[]
14,4,SP3,1,0,0,-0.03508400481650349,1,3,"6,6,6",3,0,0,0,0,4,3,-1,42,35.4,1,s,[]
15,4,SP3,1,0,0,-0.007561325046205513,2,2,"6,6",2,0,0,0,0,3,2,-1,36,40.9,1,s,[]
16,3,SP2,1,0,0,0.06454336528335182,0,3,"6,7,6",2,0,1,0,0,2,1,-1,30,151.14999999999998,1,s,[]
19,4,SP3,1,0,0,-0.03793933193446597,2,2,"6,6",2,0,0,0,0,4,3,-1,39,40.9,1,s,[]
1,3,SP2,0,0,0,0.2311251167152362,0,3,"8,7,6",1,1,1,0,0,1,1,2,34,172.60000000000002,1,s,[]
3,3,SP2,1,1,0,0.21179362223267068,0,3,"7,7,16",0,0,2,1,0,3,1,1,35,160.85,1,s,[]
6,3,SP2,1,1,0,0.12186884988835626,0,3,"7,6,16",1,0,1,1,0,5,1,1,36,138.15,1,s,[]
7,4,SP3,1,0,0,0.012902183168138605,1,3,"6,6,6",3,0,0,0,0,6,2,1,52,30.9,1,s,[]
8,4,SP3,1,0,0,-0.04396762105230111,2,2,"6,6",2,0,0,0,0,7,3,2,47,34.1,1,s,[]
9,4,SP3,1,0,0,-0.052635496750240394,2,2,"6,6",2,0,0,0,0,8,4,3,43,26.4,1,s,[]
10,4,SP3,1,0,0,-0.053259962010360394,2,2,"6,6",2,0,0,0,0,9,5,4,41,27.0,1,s,[]
11,4,SP3,1,0,0,-0.052635496750240394,2,2,"6,6",2,0,0,0,0,8,4,3,43,26.4,1,s,[]
12,4,SP3,1,0,0,-0.04396762105230111,2,2,"6,6",2,0,0,0,0,7,3,2,47,34.1,1,s,[]
14,4,SP3,1,0,0,0.06471235264739704,1,3,"6,6,6",3,0,0,0,0,2,2,3,51,44.4,1,s,[]
15,4,SP3,1,0,0,0.04005172433446752,2,2,"6,6",2,0,0,0,0,2,2,4,39,40.9,1,s,[]
16,3,SP2,1,0,0,0.2232110640663744,0,3,"6,8,7",1,1,1,0,0,1,1,5,33,173.8,1,s,[]
19,4,SP3,1,0,0,0.03165586856438728,1,3,"7,6,6",2,0,1,0,0,3,1,6,53,50.4,1,s,[]
20,4,SP3,1,0,0,-0.03256694265151449,2,2,"6,6",2,0,0,0,0,4,2,7,49,30.3,1,s,[]
21,4,SP3,1,0,0,-0.051346538135034876,2,2,"6,6",2,0,0,0,0,5,3,8,45,25.5,1,s,[]
22,4,SP3,1,0,0,-0.05315400036471028,2,2,"6,6",2,0,0,0,0,6,4,9,42,25.55,1,s,[]
23,4,SP3,1,0,0,-0.051346538135034876,2,2,"6,6",2,0,0,0,0,5,3,8,45,25.5,1,s,[]
24,4,SP3,1,0,0,-0.03256694265151449,2,2,"6,6",2,0,0,0,0,4,2,7,49,30.3,1,s,[]
25,4,SP3,1,0,0,0.03292526827603112,2,2,"7,6",1,0,1,0,0,3,1,4,40,56.45,1,s,[]
0,4,SP3,0,0,0,-0.06503679671995197,3,1,6,1,0,0,0,0,5,4,6,48,10.95,1,s,[]
1,4,SP3,0,0,0,-0.051098725334930234,2,2,"6,6",2,0,0,0,0,4,3,5,54,24.67,1,s,[]
2,4,SP3,0,0,0,-0.015008504077687288,1,3,"6,6,6",3,0,0,0,0,3,2,4,55,37.1,1,s,[]
3,4,SP3,0,0,0,-0.06003727922259989,3,1,6,1,0,0,0,0,4,3,5,53,15.18,1,s,[]
4,4,SP3,0,0,0,0.11071504122713328,1,3,"6,7,6",2,0,1,0,0,2,1,3,56,57.56,1,s,[]
6,3,SP2,0,0,0,0.25143635578609663,0,3,"7,8,6",1,1,1,0,0,1,1,1,31,167.656,1,s,[]
8,3,SP2,1,1,0,0.03931734462681359,0,3,"6,6,6",3,0,0,0,0,2,2,1,40,133.9915,1,s,[]
9,3,SP2,1,1,0,-0.049464659630703095,1,2,"6,6",2,0,0,0,0,3,3,1,36,127.17,2,s,[]
10,3,SP2,1,1,0,-0.06147348742507491,1,2,"6,6",2,0,0,0,0,4,4,1,34,128.56,2,s,[]
11,3,SP2,1,1,0,-0.06221957023709663,1,2,"6,6",2,0,0,0,0,5,5,1,33,131.9,1,s,[]
12,3,SP2,1,1,0,-0.06147348742507491,1,2,"6,6",2,0,0,0,0,4,4,1,34,128.56,2,s,[]
13,3,SP2,1,1,0,-0.049464659630703095,1,2,"6,6",2,0,0,0,0,3,3,1,36,127.17,2,s,[]
